,user,date,content,user_location
524,"{'username': 'kalkineau', 'id': 1005789907, 'displayname': 'Kalkine Media Australia', 'description': 'Stay Apprised, Invest Wise with Kalkine', 'rawDescription': 'Stay Apprised, Invest Wise with Kalkine', 'descriptionUrls': None, 'verified': True, 'created': datetime.datetime(2012, 12, 12, 7, 13, 56, tzinfo=datetime.timezone.utc), 'followersCount': 3745, 'friendsCount': 4612, 'statusesCount': 64813, 'favouritesCount': 9128, 'listedCount': 137, 'mediaCount': 15727, 'location': 'Sydney, Australia', 'protected': False, 'linkUrl': 'https://kalkinemedia.com/au', 'linkTcourl': 'https://t.co/LqanNERjAa', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1478178731717918722/SoVDCPsh_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1005789907/1664265375', 'label': None}",2020-10-10 03:31:04+00:00,"How did Queensland border closure affect tourism industry? https://t.co/Pax6D3WT6y 

#business #stockstowatch #news #trends #queensland #tourism #australia https://t.co/s4kJv8jHsR","Sydney, Australia"
525,"{'username': 'jjwalsh', 'id': 20043250, 'displayname': 'JJWalsh 🌿⛩️🏝️☀️', 'description': 'Seek-Sustainable-Japan 🤩 Talkshow-Podcast | Sharing insights & opportunities for better, more sustainable work, life & travel in Japan & beyond 💕', 'rawDescription': 'Seek-Sustainable-Japan 🤩 Talkshow-Podcast | Sharing insights & opportunities for better, more sustainable work, life & travel in Japan & beyond 💕', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2009, 2, 4, 10, 29, 10, tzinfo=datetime.timezone.utc), 'followersCount': 5333, 'friendsCount': 4077, 'statusesCount': 65568, 'favouritesCount': 108930, 'listedCount': 231, 'mediaCount': 9034, 'location': 'Hiroshima ', 'protected': False, 'linkUrl': 'https://linktr.ee/jjwalsh', 'linkTcourl': 'https://t.co/7mp8yORO6e', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1398821529568243713/4gnDGTp4_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/20043250/1613106398', 'label': None}",2020-10-09 05:32:07+00:00,"Such a fun chat with the RiverCruise bros today talking #sustainabletourism + #future #postcovid travel @jbrcpod
May have been a bit too honest about my tourism industry pet-peeves 😂
I love what they're doing with this fun podcast about Japan trends, news and community topics",Hiroshima 
526,"{'username': 'Dales_Tourism', 'id': 382080866, 'displayname': 'Susan Briggs', 'description': 'Practical marketing advice & training for tourism and hospitality businesses. School governor, sheep fair organiser & charity trustee. TourismKnowhow.com', 'rawDescription': 'Practical marketing advice & training for tourism and hospitality businesses. School governor, sheep fair organiser & charity trustee. https://t.co/WHo8uchgL2', 'descriptionUrls': [{'text': 'TourismKnowhow.com', 'url': 'http://TourismKnowhow.com', 'tcourl': 'https://t.co/WHo8uchgL2', 'indices': (135, 158)}], 'verified': False, 'created': datetime.datetime(2011, 9, 29, 13, 18, 20, tzinfo=datetime.timezone.utc), 'followersCount': 5834, 'friendsCount': 3504, 'statusesCount': 9171, 'favouritesCount': 3423, 'listedCount': 84, 'mediaCount': 827, 'location': 'Yorkshire Dales', 'protected': False, 'linkUrl': 'http://www.tourismknowhow.com', 'linkTcourl': 'https://t.co/7oC3lDBODI', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1579564733581123584/aZERyq7w_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/382080866/1665432556', 'label': None}",2020-10-08 16:53:36+00:00,@lizsmailes @ryanharperuk @Love_Brighton definitely one of the most important marketing trends for tourism industry. Writing an article about it at the moment for @TXGB blog. Will let you know when it's live.,Yorkshire Dales
527,"{'username': 'TravelAlbertaCo', 'id': 891261138, 'displayname': 'Travel Alberta Corp.', 'description': 'For the latest tourism news, research, and travel inspiration, follow @travelalberta.', 'rawDescription': 'For the latest tourism news, research, and travel inspiration, follow @travelalberta.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2012, 10, 19, 15, 59, 27, tzinfo=datetime.timezone.utc), 'followersCount': 3996, 'friendsCount': 992, 'statusesCount': 7186, 'favouritesCount': 5780, 'listedCount': 84, 'mediaCount': 2225, 'location': 'Alberta, Canada', 'protected': False, 'linkUrl': 'https://industry.travelalberta.com/', 'linkTcourl': 'https://t.co/p0ELqfl85t', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1531688205103165440/oSJH3TzW_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/891261138/1651682119', 'label': None}",2020-10-07 20:30:07+00:00,"See our latest Tourism Industry Dashboard, a comprehensive summary of the most current visitation statistics, trends in the accommodation sector, status of tourism businesses, park attendance, consumer demand and resident sentiment. https://t.co/rrr5Liw0Y5 https://t.co/hHfDDqCCSj","Alberta, Canada"
528,"{'username': 'BEDomenget', 'id': 956474616675033089, 'displayname': 'Benoit-Etienne Domenget', 'description': 'CEO Sommet Education / Father of a tribe of 4 / Outdoor enthusiast / #Hospitality lover #Education', 'rawDescription': 'CEO Sommet Education / Father of a tribe of 4 / Outdoor enthusiast / #Hospitality lover #Education', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2018, 1, 25, 10, 31, 33, tzinfo=datetime.timezone.utc), 'followersCount': 852, 'friendsCount': 512, 'statusesCount': 601, 'favouritesCount': 547, 'listedCount': 5, 'mediaCount': 197, 'location': 'Suisse, France', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1035436281927557120/oavG2hSN_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/956474616675033089/1535105876', 'label': None}",2020-10-07 09:00:01+00:00,"What has COVID-19 revealed for the tourism industry? What are the trends?
#travel #hospitality #trends https://t.co/abQYQG9L40","Suisse, France"
529,"{'username': 'tourdrumheller', 'id': 1074744260, 'displayname': 'Travel Drumheller', 'description': 'We look forward to welcoming you to the #DrumhellerValley Dinosaur Capital of the World.', 'rawDescription': 'We look forward to welcoming you to the #DrumhellerValley Dinosaur Capital of the World.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2013, 1, 9, 20, 1, 20, tzinfo=datetime.timezone.utc), 'followersCount': 731, 'friendsCount': 434, 'statusesCount': 1219, 'favouritesCount': 1345, 'listedCount': 0, 'mediaCount': 165, 'location': 'Drumheller, Alberta, Canada', 'protected': False, 'linkUrl': 'https://traveldrumheller.com/', 'linkTcourl': 'https://t.co/wHzrxCq61k', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1370100076069064704/V2KEZI-2_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1074744260/1665171439', 'label': None}",2020-10-06 18:00:58+00:00,"These are some amazing resources on visitors and trends for the tourism industry in Alberta. Thanks @TravelAlbertaCo https://t.co/LMmuMYw9Da

#ABTourism #Tourismworks #Drumhellervalley https://t.co/nPagaJzzyE","Drumheller, Alberta, Canada"
530,"{'username': 'Break_TheIce', 'id': 314786180, 'displayname': 'Break The Ice Media', 'description': 'We build #marketing programs that allow small and mid-size companies to connect with consumers. Our solutions include #PR, Marketing, Digital & Social Media.', 'rawDescription': 'We build #marketing programs that allow small and mid-size companies to connect with consumers. Our solutions include #PR, Marketing, Digital & Social Media.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2011, 6, 10, 20, 17, 21, tzinfo=datetime.timezone.utc), 'followersCount': 693, 'friendsCount': 605, 'statusesCount': 11952, 'favouritesCount': 246, 'listedCount': 39, 'mediaCount': 513, 'location': 'Pittsford, NY', 'protected': False, 'linkUrl': 'http://www.breaktheicemedia.com', 'linkTcourl': 'https://t.co/g98Lglbu3x', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1390371158/btilogocube_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/314786180/1470165708', 'label': None}",2020-10-06 12:18:06+00:00,Each segment in the travel and tourism industry looks at data differently. Humphrey Ho of @hylinkdigital is back to talk about new trends in data and tracking #podcast: https://t.co/kfwAQbe3RB,"Pittsford, NY"
531,"{'username': 'CE_ChinaEconomy', 'id': 1211892441529241601, 'displayname': 'China Economy', 'description': 'Latest business news and valuable information from China.', 'rawDescription': 'Latest business news and valuable information from China.', 'descriptionUrls': None, 'verified': True, 'created': datetime.datetime(2019, 12, 31, 6, 11, 12, tzinfo=datetime.timezone.utc), 'followersCount': 5437, 'friendsCount': 153, 'statusesCount': 25112, 'favouritesCount': 534, 'listedCount': 85, 'mediaCount': 23124, 'location': 'Beijing', 'protected': False, 'linkUrl': 'http://www.ce.cn/', 'linkTcourl': 'https://t.co/yu6In1Aatx', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1211892694013763584/VJz3qS4n_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1211892441529241601/1577778203', 'label': {'description': 'China state-affiliated media', 'url': 'https://help.twitter.com/rules-and-policies/state-affiliated-china', 'badgeUrl': 'https://pbs.twimg.com/semantic_core_img/1290398364253609984/raI7Td7Z?format=png&name=orig', 'longDescription': None}}",2020-10-06 11:20:00+00:00,"China's cultural&amp;tourism industry is embracing trend of digitalization. Online reservation rate at scenic spots with highest 5A rating has reached 94%. Since COVID-19 outbreak, online ticketing rates at scenic sites nationwide have risen to 40 % from less than 20% in 2019. https://t.co/cf3xHLFrvB",Beijing
532,"{'username': 'BabyBoomerDaily', 'id': 215774058, 'displayname': 'Baby Boomer Daily', 'description': 'The best news and information for Baby Boomers!', 'rawDescription': 'The best news and information for Baby Boomers!', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2010, 11, 14, 21, 44, 47, tzinfo=datetime.timezone.utc), 'followersCount': 4343, 'friendsCount': 90, 'statusesCount': 25214, 'favouritesCount': 111, 'listedCount': 117, 'mediaCount': 1, 'location': 'USA', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/808116882624708608/FS99yaNm_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/215774058/1481505106', 'label': None}",2020-10-06 03:39:02+00:00,"Riding Tourism Industry 2020 Market Trends, Share, Size, Growth, Supply and Manufacturers ... https://t.co/FCmsc7M8QP",USA
533,"{'username': 'Mangoos32016517', 'id': 1253871471715287042, 'displayname': 'Aneesh Chacko.', 'description': 'Savan swaraj ka mousam,haalath tho..Kabhi barsa de.kabhi rook le::bhir hi hope...kaali pade.', 'rawDescription': 'Savan swaraj ka mousam,haalath tho..Kabhi barsa de.kabhi rook le::bhir hi hope...kaali pade.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2020, 4, 25, 2, 20, 56, tzinfo=datetime.timezone.utc), 'followersCount': 82, 'friendsCount': 1176, 'statusesCount': 73115, 'favouritesCount': 3679, 'listedCount': 0, 'mediaCount': 8152, 'location': 'India.', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1253871780126699523/VYNQteKk_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1253871471715287042/1651199603', 'label': None}",2020-10-05 02:50:49+00:00,"@anmol_ambani @sachin_rt Right now real estate &amp;tourism industry is lowest rate in its history. Land prices cheap,Building value down,construction industry down-global trend.After COVID period,economis like western one,Australian likes will push back to it's normal rate easily.",India.
